# List of fake referrers ordered by the number of hits
# Format: <nb of hits>,<referrer url>
9,http://shine.yahoo.com/channel/none/better-cash-advance-how-does-check-cash-advance-work-1332168/
6,http://www.hbdrake.350.com/
5,http://www.williamtheone.350.com/
5,http://hakinesu.freehostia.com/uchrwop.html
5,http://www.entraj.350.com/
5,http://latticesoft.com/forums/members/conferencingsolutions39p.aspx
5,http://paintersjournal.com/members/Credit-Card-Application-Best-Offers.-Uk-credit-cards-online.aspx
5,http://community.energy-speakers.com/members/vacationineurope11h.aspx
5,http://buildyourbliss.com/blog/members/vacationineurope59c.aspx
3,http://soccergirl.ning.com/profiles/blogs/las-vegas-hotel-better-las
2,http://volunteerlouisiana.gov/member/3153/
2,http://www.dool.tv/forum/
2,http://volunteerlouisiana.gov/member/2988/
1,http://community.livinglakecountry.com/members/flowerdelivery68n.aspx
1,http://sickanimation.com/cs/members/cosmeticdentistry52o.aspx
1,http://fortheloveofthecode.com/members/flowerdelivery27c.aspx
1,http://paintersjournal.com/members/Credit-Card-Application-Best-Offers.-Credit-card-merchants.aspx
1,http://volunteerlouisiana.gov/member/2940/
1,http://www.ecometro.com/Community/members/flowerdelivery23l.aspx
1,http://malgorz.com/members/conferencingsolutions72q.aspx
1,http://community.energy-speakers.com/members/movingcompany66i.aspx
1,http://volunteerlouisiana.gov/member/2856/
1,http://volunteerlouisiana.gov/member/3026/
1,http://www.ecometro.com/Community/members/webhosting15v.aspx
1,http://tuguia.com/members/debtsettlement32q.aspx
1,http://www.ecometro.com/Community/members/conferencingsolutions25a.aspx
1,http://paintersjournal.com/members/Home-Loan-Best-Offers.-Home-equity-loan-in-michigan.aspx
1,http://sickanimation.com/cs/members/lifeinsurance62i.aspx
1,http://community.energy-speakers.com/members/movingcompany62l.aspx
1,http://blog.tellurideskiresort.com/members/carinsurance57f.aspx
1,http://forums.itv.com/members/conferencingsolutions16w.aspx
1,http://paintersjournal.com/members/Contractors-Best-Offers.-Ontario-general-contractors-asso.aspx
1,http://www.ecometro.com/Community/members/cosmeticdentistry83x.aspx
1,http://shine.yahoo.com/channel/none/flower-delivery-cosmo-flower-plant-1254419/
1,http://community.energy-speakers.com/members/webhosting36y.aspx
1,http://community.energy-speakers.com/members/conferencingsolutions44i.aspx
1,http://malgorz.com/members/computersecurity47u.aspx
1,http://fortheloveofthecode.com/members/conferencingsolutions73w.aspx
1,http://forums.itv.com/members/conferencingsolutions21y.aspx
1,http://fortheloveofthecode.com/members/conferencingsolutions79n.aspx
1,http://www.sunorbit.net/exosites.htm
1,http://malgorz.com/members/carinsurance80k.aspx
1,http://sickanimation.com/cs/members/vacationineurope25h.aspx
1,http://hakinesu.freehostia.com/ungfblt.html
1,http://neyanupe.freehostia.com/xbkyflc.html
1,http://www.ecometro.com/Community/members/debtsettlement21m.aspx
1,http://paintersjournal.com/members/Web-Hosting-Best-Offers.-Data-center-hosting-services.aspx
1,http://volunteerlouisiana.gov/member/2727/
1,http://volunteerlouisiana.gov/member/3169/
1,http://volunteerlouisiana.gov/member/2800/
1,http://volunteerlouisiana.gov/member/2986/
1,http://volunteerlouisiana.gov/member/3104/
1,http://volunteerlouisiana.gov/member/2732/
